city,state,program_name,model,scope,cycle,fee_notes,year,authority,url,notes,verify
Albany,NY,Residential Occupancy Permit,inspection,Rental units,Every 30 months,Per-unit fee,,Albany Code ch. 231,https://www.albanyny.gov/,ROP model - permit conditioned on inspection,N
Buffalo,NY,Rental Registration,registration,Non-owner-occupied 1-2 family,Annual,Per-property fee,,Buffalo Code,https://www.buffalony.gov/,Confirm scope and inspection component,Y
New Jersey,NJ,Statewide Landlord Registration + Cyclical Inspections,state,All rentals (registration); 3+ unit buildings (5-yr state inspections),Registration at tenancy; inspections every 5 yrs,State inspection fees,,N.J.S.A. 46:8-27; Hotel & Multiple Dwelling Act,https://www.nj.gov/dca/codes/,Strongest statewide model in US,N
Minneapolis,MN,Rental Dwelling License,license,All rental property,Annual; inspection frequency by tier (1-3),Tiered per-unit fees rising with violation history,,Minneapolis Code ch. 244,https://www2.minneapolismn.gov/business-services/licenses-permits-inspections/rental-licenses/,Tiered risk-based licensing - much-copied model; ~90% compliance reported,N
St. Paul,MN,Fire Certificate of Occupancy,inspection,All non-owner-occupied residential,Periodic by class (A/B/C),Per-inspection fees,,St. Paul Code ch. 40,https://www.stpaul.gov/departments/safety-inspections,C of O with letter grades setting reinspection frequency,N
Bloomington,MN,Rental Housing License,license,All rental housing,Annual license + annual inspection,Per-unit fee,,City Code,https://www.bloomingtonmn.gov/eh/rental-housing-licensing-and-inspection-program,Annual inspection of every rental - high-intensity model,N
Milwaukee,WI,Residential Rental Inspection (targeted),inspection,Designated districts only,Periodic,Per-unit fee,2010,Milwaukee Code,https://city.milwaukee.gov/DNS,Narrowed by WI Acts 176 (2015) & 317 (2017) state preemption,N
Detroit,MI,Rental Registration + Certificate of Compliance,inspection,All rentals exc. owner-occupied single-family,Registration + periodic compliance cert incl. lead clearance,Registration free; inspection/cert fees,,Detroit Code ch. 8,https://detroitmi.gov/departments/buildings-safety-engineering-and-environmental-department-bseed/bseed-divisions/property-maintenance/tenant-rental-property/landlord-rental,Compliance cert requires lead clearance for pre-1978,N
Grand Rapids,MI,Rental Certification,inspection,All rental dwellings,Certificate ~4-yr cycle,Per-unit fee,,City Code,https://www.grandrapidsmi.gov/,Long-running certification program,N
Ann Arbor,MI,Certificate of Compliance,inspection,All rental housing,Inspection every ~2.5 yrs,Per-unit fee,,Ann Arbor Code ch. 105,https://www.a2gov.org/departments/build-rent-inspect/,University town model; near-universal coverage,N
Cleveland,OH,Rental Registration + Lead Safe Certification,registration,All rentals; lead cert for pre-1978,Annual registration; lead cert 2-yr,Per-unit fees,2019,Cleveland Code ch. 365/240,https://www.clevelandohio.gov/,Lead Safe Cleveland phase-in 2021-2023,N
Cincinnati,OH,Residential Rental Registration,registration,Rental dwellings,Annual,Per-property fee,,Cincinnati Code,https://www.cincinnati-oh.gov/buildings/,Confirm current scope - expanded amid 2022-23 institutional-landlord fights,Y
Des Moines,IA,Rental Certificate of Occupancy,inspection,All rental property,Certificate with periodic inspection,Per-unit fee,,Municipal Code ch. 60,https://www.dsm.city/,Registration + inspection + certificate,N
Iowa City,IA,Rental Permit,inspection,All rental units,Permit with ~2-yr inspection cycle,Per-structure + per-unit fee,,City Code tit. 17,https://www.icgov.org/,State preempted occupancy caps (2017) but permits survive,N
Kansas City,MO,Healthy Homes Rental Inspection Program,inspection,All rental units,Registration + complaint-based and proactive inspection,~$20/unit/yr,2018,Voter-approved ordinance (Question 1 2018),https://www.kcmo.gov/city-hall/departments/health/healthy-homes-rental-inspection-program,Health-department-run - distinctive public-health framing,N
Bloomington,IN,Residential Rental Occupancy Permit,inspection,All rental units,Cyclical inspection,Fees capped by state law,pre-1984,City Code tit. 16,https://bloomington.in.gov/housing/rental-occupancy,Grandfathered under Ind. Code 36-1-20-4.1 preemption,N
Evanston,IL,Rental Registration & Licensing,license,Rental dwellings,Annual,Per-unit fee,,City Code,https://www.cityofevanston.org/,Chicago itself has no citywide program - suburbs do,Y
Memphis,TN,Rental Registration (Code Enforcement),registration,Rental property,Annual,Annual fee,,Memphis/Shelby Co. Code,https://www.memphistn.gov/,Confirm details - relevant TN comparator for Nashville,Y
Dallas,TX,Rental Registration Program,registration,Single-family and multifamily rentals,Annual registration + inspection program,Per-unit/property fees,,Dallas Code ch. 27,https://dallascityhall.com/departments/codecompliance/,Expanded single-family registration amid investor-owner growth,N
Austin,TX,Repeat Offender Program,registration,Properties with violation history only,Annual while designated,Per-property fee,2013,Austin Code,https://www.austintexas.gov/department/repeat-offender-program,Targeted problem-property registration - preemption-resilient design,N
Louisville,KY,Rental Registry,registration,Rental dwellings,Annual,Per-property fee,2023,Louisville Metro Code,https://louisvilleky.gov/,Recently adopted - confirm implementation status,Y
Florida,FL,DBPR Public Lodging License (apartments),state,Non-transient apartment buildings statewide,Annual state license + inspections,Per-unit state fee,,Fla. Stat. ch. 509,https://www2.myfloridalicense.com/,Statewide licensing of apartment buildings - state-model comparator,N
Seattle,WA,Rental Registration & Inspection Ordinance (RRIO),registration,All rental housing,Registration renewed 2 yrs; inspection at least once/5-10 yrs,~$110 first unit + per-unit,2012,Seattle Code ch. 22.214,https://www.seattle.gov/sdci/codes/codes-we-enforce-(a-z)/rental-regulations,Registration + random/periodic inspection by private or city inspectors,N
Tacoma,WA,Rental Housing Code + Business License,license,All rental property,Annual business license per property,License fee,,Tacoma Code,https://www.cityoftacoma.org/,Rental Housing Code ties standards to license,N
Tukwila,WA,Rental Housing Inspection Program,inspection,All rental units,Registration + periodic inspection,Per-unit fee,,City Code,https://www.tukwilawa.gov/,Small-city WA model; see also Bellingham Pasco Burien Kenmore Aberdeen,N
Spokane,WA,Long-Term Rental Registry,registration,Long-term rental units,Annual,~$127 base + $15/unit,2023,Spokane Code,https://my.spokanecity.org/,Explicitly branded long-term rental registry,N
Portland,OR,Residential Rental Registration,registration,All residential rental units,Annual (filed with business tax Schedule R),$60/unit,2019,Portland Code ch. 7.02,https://www.portland.gov/revenue/residential-rental-registration,Registration via tax filing - low-friction design,N
Sacramento,CA,Rental Housing Inspection Program,inspection,All rental housing,Registration + routine inspection cycle,Per-unit annual fee,2008,Sacramento Code ch. 8.120,https://www.cityofsacramento.gov/community-development/code-compliance/rental-housing,Self-certification available after passing initial inspection,N
Los Angeles,CA,Systematic Code Enforcement Program (SCEP) + Rent Registry,inspection,All rentals 2+ units,Inspection ~every 4 yrs,Per-unit annual SCEP fee,1998,LAMC ch. XVI,https://housing.lacity.gov/,Oldest big-city systematic inspection program; registry for RSO units,N
Long Beach,CA,Proactive Rental Housing Inspection Program,inspection,Rental properties 4+ units,Periodic proactive inspection,Per-unit fee,,Long Beach Code,https://www.longbeach.gov/lbcd/enforcement/prhip/,Confirm current unit-count scope,Y
Berkeley,CA,Rental Housing Safety Program + Rent Registry,inspection,All rental units,Annual owner self-certification + city inspections,Per-unit fee,,Berkeley Code ch. 12.48,https://berkeleyca.gov/,Paired with rent-stabilization registry,N
San Francisco,CA,Housing Inventory (Rent Board),registration,All residential units incl. rentals,Annual reporting,Per-unit Rent Board fee,2021,SF Admin Code ch. 37A,https://www.sf.gov/departments/rent-board,Usage/occupancy/rent reporting - data-rich registry model,N
Boulder,CO,Rental Housing License,license,All rental housing,License renewed every 4 yrs; inspection each cycle,Per-property fee + private inspection,,Boulder Code ch. 10-3,https://bouldercolorado.gov/services/rental-housing-licensing,SmartRegs energy standards tied to license - unique feature,N
Denver,CO,Residential Rental Property License,license,All rental properties (phased 2023 multi / 2024 single),License 4-yr; inspection by private licensed inspector,Fee by unit count,2021,Denver Code ch. 27 art. XIII,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Business-Licensing/Business-licenses/Residential-rental-property,Newest big-city licensing program; fines to $5000,N
Fort Collins,CO,Residential Rental Registration/License,registration,Long-term rental units,Periodic,Per-unit fee,2023,City Code,https://www.fcgov.com/rentalhousing/,Recently adopted alongside occupancy reform,Y
Salt Lake City,UT,Business License for Rentals + Landlord/Tenant Initiative,license,All rental dwellings,Annual,Base + per-unit fee; discount for Good Landlord training,,SLC Code,https://www.slc.gov/,Incentive-based Good Landlord model,N
